preco;quartos;banheiros;vagas garagem;rua/avenida;custo condominio;iptu;bairro;cidade;estado;cep;armários na cozinha;academia;piscina;varanda;portaria;quarto de serviço;área de serviço;condomínio fechado;permitido animais;churrasqueira;elevador;mobiliado;armários no quarto;ar condicionado;segurança 24h;salão de festas;area util por m²
5110000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;58.0
4600000.0;2;2;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;62.0
1990000.0;1;1;1;Avenida Tancredo Neves;550.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;28.0
4600000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;75.0
4800000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;86.0
1680000.0;2;1;1;Avenida Oduvaldo Evaristo Bacelar;270.0;412.0;Nossa Senhora da Vitória;Ilhéus;BA;45655700;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;44.0
13000000.0;3;3;2;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;170.0
4100000.0;2;2;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;67.0
2670000.0;1;1;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;31.0
5500000.0;2;2;1;Avenida Lomanto Júnior;560.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;121.0
7500000.0;3;2;1;Avenida Lomanto Júnior;0.0;0.0;Pontal;Ilhéus;BA;45654000;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;89.0
7728000.0;3;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;105.0
18000000.0;3;4;2;Rua dos Canários;500.0;100.0;Nossa Senhora da Vitória;Ilhéus;BA;45655748;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;132.0
5800000.0;2;2;1;Avenida Tancredo Neves;0.0;0.0;São Francisco;Ilhéus;BA;45655120;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;70.0
5300000.0;2;2;1;Rua Gildo Mário Caldas;0.0;0.0;São Francisco;Ilhéus;BA;45655108;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;63.0
4100000.0;2;1;1;Rua Vereador Neo Bastos;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655768;0;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;60.0
3780000.0;2;2;1;Rua Domingos Guimarães;-1;-1;Pontal;Ilhéus;BA;45654254;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;58.0
9000000.0;1;2;2;Avenida Tancredo Neves;600.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;104.0
6000000.0;2;1;1;Rua dos Tangarás;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655752;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;64.0
9000000.0;2;2;2;Avenida Tancredo Neves;600.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;104.0
4500000.0;2;2;1;Rua Mário Garcia Morelli;0.0;0.0;Jardim Atlântico;Ilhéus;BA;45655048;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;50.0
3000000.0;1;1;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;32.0
6000000.0;2;2;1;Avenida Lomanto Júnior;391.0;0.0;Pontal;Ilhéus;BA;45654001;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;77.0
5500000.0;3;3;2;Avenida Vereador Marcus Paiva;1094.0;223.0;Cidade Nova;Ilhéus;BA;45652050;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;131.0
3600000.0;-1;1;-1;Avenida Tancredo Neves;370.0;-1;Jardim Atlântico;Ilhéus;BA;45655000;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;-1
5200000.0;2;2;1;Avenida Lomanto Júnior;590.0;-1;Pontal;Ilhéus;BA;45654000;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;70.0
3000000.0;2;2;1;Avenida Nossa Senhora Aparecida;-1;-1;São Francisco;Ilhéus;BA;45655100;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;57.0
4100000.0;2;1;1;Avenida Tancredo Neves;0.0;0.0;Nossa Senhora da Vitória;Ilhéus;BA;45655650;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;59.0
